Tipo,ID,Nombre,Descripcion,Lat,Lon,Altura
PIMET,3428,GOYA,Goya,-29.13,-59.25,
PIMET,3429,VICTORIA,Victoria,-32.62,-60.17,
PIMET,3518,COMODORO_RIVADAVIA,Comodoro Rivadavia,-45.79,-67.46,
PIMET,3519,MALVINAS,Malvinas,-51.82,-58.45,
PIMET,3527,PUERTO_SAN_JULIAN,Puerto San Julian,-49.31,-67.8,
PIMET,3529,PUERTO_MADRYN,Puerto Madryn,-42.76,-65.1,
PIMET,3532,RAWSON,Rawson,-43.3,-65.07,
PIMET,3534,RIO_GRANDE,Rio Grande,-53.78,-67.76,
PIMET,3537,USHUAIA,Ushuaia,-54.84,-68.3,
PIMET,3585,TOLHUIN,Tolhuin,-54.53,-67.2,
TURISTICA,,Pinamar,Pinamar,-37.19,-56.86,
TURISTICA,,Colon,Colon,-32.22,-58.15,
TURISTICA,,San_Bernardo,San Bernardo,-36.69,-56.68,
TURISTICA,,Mar_de_Ajo,Mar De Ajo,-36.72,-56.69,
TURISTICA,,San_Clemente,San Clemente,-36.37,-56.72,
TURISTICA,,Miramar,Miramar,-38.25,-57.82,
TURISTICA,,La_Falda,La Falda,-31.1,-64.49,
TURISTICA,,Las_Grutas,Las Grutas,-40.81,-65.09,
TURISTICA,,Mar_del_Plata,Mar Del Plata,-37.93,-57.58,
TURISTICA,,Bariloche,Bariloche,-41.15,-71.16,
TURISTICA,,Villa_Gesell,Villa Gesell,-37.24,-57.02,
TURISTICA,,Villa_Carlos_Paz,Villa Carlos Paz,-31.43,-64.5,
TURISTICA,,Rio_Hondo,Rio Hondo,-27.51,-64.93,
TURISTICA,,Iguazu,Iguazu,-25.73,-54.48,
TURISTICA,,Rosario,Rosario,-32.91,-60.78,
TURISTICA,,Calafate,Calafate,-50.28,-72.05,
TURISTICA,,Necochea,Necochea,-38.55,-58.75,
TURISTICA,,Merlo,Merlo,-32.33,-65.02,
TURISTICA,,San_Rafael,San Rafael,-34.59,-68.4,
TURISTICA,,Puerto_Madryn,Puerto Madryn,-42.76,-65.1,
TURISTICA,, San Martin de los Andes,,-40.16,-71.35,San_Martin_de_los_Andes
INTRAMET,,Quilmes,Quilmes,-34.74,-58.24,
INTRAMET,,Coperativos,Coperativos,-43.14,-71.6,
INTRAMET,,Epuyen,Epuyen,-42.24,-71.41,
INTRAMET,,Futalaufquen,Futalaufquen,-42.89,-71.6,
INTRAMET,,Paso_Coihaique,Paso Coihaique,-45.51,-71.56,
INTRAMET,,Paso_Las_Pampas,Paso Las Pampas,-44.25,-71.84,
INTRAMET,,Paso_Rio_Encuentro,Paso Rio Encuentro,-43.58,-71.73,
INTRAMET,,Paso_Rio_Frias,Paso Rio Frias,-44.57,-71.18,
INTRAMET,,Paso_Triana,Paso Triana,-45.57,-71.72,
INTRAMET,,Pto_Chucao,Pto Chucao,-42.71,-71.72,
INTRAMET,,Trevelin,Trevelin,-43.09,-71.49,
INTRAMET,,Las_Leñas,Las Leñas,-35.15,-70.06,
INTRAMET,,Paso_Portillo_Piuque,Paso Portillo Piuque,-33.64,-69.84,
INTRAMET,,Chapelco,Chapelco,-40.08,-71.14,
INTRAMET,,Paso_Card_Samore,Paso Card Samore,-40.71,-71.9,
INTRAMET,,Paso_Carirrine,Paso Carirrine,-39.79,-71.68,
INTRAMET,,Paso_Huahum,Paso Huahum,-40.15,-71.66,
INTRAMET,,Paso_Icalma,Paso Icalma,-38.84,-71.27,
INTRAMET,,Paso_Mamuil_Malal,Paso Mamuil Malal,-39.58,-71.47,
INTRAMET,,Paso_Pichachen,Paso Pichachen,-37.48,-71.12,
INTRAMET,,Paso_Pino_Hachado,Paso Pino Hachado,-38.68,-70.89,
INTRAMET,,Villa_Pehuenia,Villa Pehuenia,-38.88,-71.23,
INTRAMET,,Paso_Perez_Rosales,Paso Perez Rosales,-41.07,-71.84,
INTRAMET,,Paso_Rio_Manso,Paso Rio Manso,-41.54,-71.83,
INTRAMET,,Paso_Vuriloche,Paso Vuriloche,-41.25,-71.85,
INTRAMET,,Paso_Socompa,Paso Socompa,-24.43,-68.34,
INTRAMET,,Paso_Pascua_Lama,Paso Pascua Lama,-29.32,-69.97,
INTRAMET,,Tafi_del_Valle,Tafi Del Valle,-26.89,-65.72,
